section,level,center_x,center_y,entry_portal_x,entry_portal_y,navigation_zone,internal_node,known_ticket_gate_label,confidence
101,1,387.5,647.2,370.0,668.9,south,L1_SECTION_101_PORTAL,,estimated_from_public_seating_plan
102,1,453.2,666.3,445.9,690.7,south,L1_SECTION_102_PORTAL,,estimated_from_public_seating_plan
103,1,523.5,669.1,527.2,693.9,south,L1_SECTION_103_PORTAL,DOĞU,estimated_from_public_seating_plan
104,1,591.5,655.3,605.8,678.1,south,L1_SECTION_104_PORTAL,,estimated_from_public_seating_plan
105,1,650.6,626.3,674.0,644.9,east,L1_SECTION_105_PORTAL,,estimated_from_public_seating_plan
106,1,694.9,585.0,725.2,597.5,east,L1_SECTION_106_PORTAL,,estimated_from_public_seating_plan
107,1,720.1,535.3,754.3,540.5,east,L1_SECTION_107_PORTAL,,estimated_from_public_seating_plan
108,1,723.8,482.2,758.6,479.6,east,L1_SECTION_108_PORTAL,,estimated_from_public_seating_plan
109,1,705.5,430.9,737.5,420.7,east,L1_SECTION_109_PORTAL,,estimated_from_public_seating_plan
110,1,667.2,386.2,693.2,369.5,east,L1_SECTION_110_PORTAL,,estimated_from_public_seating_plan
111,1,612.5,352.8,630.0,331.1,north,L1_SECTION_111_PORTAL,,estimated_from_public_seating_plan
112,1,546.8,333.7,554.1,309.3,north,L1_SECTION_112_PORTAL,,estimated_from_public_seating_plan
113,1,476.5,330.9,472.8,306.1,north,L1_SECTION_113_PORTAL,,estimated_from_public_seating_plan
114,1,408.5,344.7,394.2,321.9,north,L1_SECTION_114_PORTAL,,estimated_from_public_seating_plan
115,1,349.4,373.7,326.0,355.1,west,L1_SECTION_115_PORTAL,,estimated_from_public_seating_plan
116,1,305.1,415.0,274.8,402.5,west,L1_SECTION_116_PORTAL,,estimated_from_public_seating_plan
117,1,279.9,464.7,245.7,459.5,west,L1_SECTION_117_PORTAL,,estimated_from_public_seating_plan
118,1,276.2,517.8,241.4,520.4,west,L1_SECTION_118_PORTAL,,estimated_from_public_seating_plan
119,1,294.5,569.1,262.5,579.3,west,L1_SECTION_119_PORTAL,DOĞU,estimated_from_public_seating_plan
120,1,332.8,613.8,306.8,630.5,west,L1_SECTION_120_PORTAL,,estimated_from_public_seating_plan
201,2,342.5,707.8,325.0,729.5,south,L2_SECTION_201_PORTAL,,estimated_from_public_seating_plan
202,2,434.5,734.8,427.2,759.2,south,L2_SECTION_202_PORTAL,,estimated_from_public_seating_plan
203,2,532.9,738.7,536.6,763.5,south,L2_SECTION_203_PORTAL,,estimated_from_public_seating_plan
204,2,628.1,719.3,642.4,742.1,south,L2_SECTION_204_PORTAL,,estimated_from_public_seating_plan
205,2,710.8,678.4,734.2,696.9,south_east,L2_SECTION_205_PORTAL,,estimated_from_public_seating_plan
206,2,772.8,620.0,803.1,632.5,east,L2_SECTION_206_PORTAL,,estimated_from_public_seating_plan
207,2,808.1,549.9,842.4,555.1,east,L2_SECTION_207_PORTAL,,estimated_from_public_seating_plan
208,2,813.3,474.9,848.1,472.3,east,L2_SECTION_208_PORTAL,,estimated_from_public_seating_plan
209,2,787.8,402.4,819.7,392.2,east,L2_SECTION_209_PORTAL,,estimated_from_public_seating_plan
210,2,734.1,339.4,760.1,322.7,east,L2_SECTION_210_PORTAL,,estimated_from_public_seating_plan
211,2,657.5,292.2,675.0,270.5,north,L2_SECTION_211_PORTAL,,estimated_from_public_seating_plan
212,2,565.5,265.2,572.8,240.8,north,L2_SECTION_212_PORTAL,,estimated_from_public_seating_plan
213,2,467.1,261.3,463.4,236.5,north,L2_SECTION_213_PORTAL,,estimated_from_public_seating_plan
214,2,371.9,280.7,357.6,257.9,north,L2_SECTION_214_PORTAL,,estimated_from_public_seating_plan
215,2,289.2,321.6,265.8,303.1,north_west,L2_SECTION_215_PORTAL,,estimated_from_public_seating_plan
216,2,227.2,380.0,196.9,367.5,west,L2_SECTION_216_PORTAL,,estimated_from_public_seating_plan
217,2,191.9,450.1,157.6,444.9,west,L2_SECTION_217_PORTAL,,estimated_from_public_seating_plan
218,2,186.7,525.1,151.9,527.7,west,L2_SECTION_218_PORTAL,,estimated_from_public_seating_plan
219,2,212.2,597.6,180.3,607.8,west,L2_SECTION_219_PORTAL,,estimated_from_public_seating_plan
220,2,265.9,660.6,239.9,677.3,west,L2_SECTION_220_PORTAL,,estimated_from_public_seating_plan
401,4,290.0,781.5,272.5,803.1,south,L4_SECTION_401_PORTAL,,estimated_from_public_seating_plan
402,4,401.0,815.8,392.7,840.1,south,L4_SECTION_402_PORTAL,,estimated_from_public_seating_plan
403,4,520.0,824.6,521.6,849.6,south,L4_SECTION_403_PORTAL,,estimated_from_public_seating_plan
404,4,637.4,807.1,648.8,830.8,south,L4_SECTION_404_PORTAL,,estimated_from_public_seating_plan
405,4,743.6,764.7,763.9,785.1,south_east,L4_SECTION_405_PORTAL,,estimated_from_public_seating_plan
406,4,830.1,700.9,857.7,716.4,east,L4_SECTION_406_PORTAL,,estimated_from_public_seating_plan
407,4,889.9,620.8,922.4,630.1,east,L4_SECTION_407_PORTAL,,estimated_from_public_seating_plan
408,4,918.1,530.9,952.9,533.3,east,L4_SECTION_408_PORTAL,,estimated_from_public_seating_plan
409,4,912.4,438.5,946.8,433.8,east,L4_SECTION_409_PORTAL,,estimated_from_public_seating_plan
410,4,873.3,351.1,904.4,339.6,east,L4_SECTION_410_PORTAL,BATI,estimated_from_public_seating_plan
411,4,804.0,275.7,829.3,258.5,east,L4_SECTION_411_PORTAL,,estimated_from_public_seating_plan
412,4,710.0,218.5,727.5,196.9,north,L4_SECTION_412_PORTAL,,estimated_from_public_seating_plan
413,4,599.0,184.2,607.3,159.9,north,L4_SECTION_413_PORTAL,,estimated_from_public_seating_plan
414,4,480.0,175.4,478.4,150.4,north,L4_SECTION_414_PORTAL,BATI,estimated_from_public_seating_plan
415,4,362.6,192.9,351.2,169.2,north,L4_SECTION_415_PORTAL,,estimated_from_public_seating_plan
416,4,256.4,235.3,236.1,214.9,north_west,L4_SECTION_416_PORTAL,,estimated_from_public_seating_plan
417,4,169.9,299.1,142.3,283.6,west,L4_SECTION_417_PORTAL,,estimated_from_public_seating_plan
418,4,110.1,379.2,77.6,369.9,west,L4_SECTION_418_PORTAL,,estimated_from_public_seating_plan
419,4,81.9,469.1,47.1,466.7,west,L4_SECTION_419_PORTAL,,estimated_from_public_seating_plan
420,4,87.6,561.5,53.2,566.2,west,L4_SECTION_420_PORTAL,,estimated_from_public_seating_plan
421,4,126.7,648.9,95.6,660.4,west,L4_SECTION_421_PORTAL,,estimated_from_public_seating_plan
422,4,196.0,724.3,170.7,741.5,west,L4_SECTION_422_PORTAL,BATI,estimated_from_public_seating_plan
